fecha;provincia;Sexo;edad;personas_vacunadas_campaña_2025_acumulado;porcentaje_residentes_campaña_2025;sigla
2026-03-15;Burgos;Hombre;50-59;1489;5.13643106;BU
2026-03-15;Burgos;Hombre;60-69;4673;17.6886971;BU
2026-03-15;Burgos;Hombre;80-89;5888;63.68848026;BU
2026-03-15;Burgos;Mujer;05-12;12;0.101841636;BU
2026-03-15;Burgos;Mujer;13-19;68;0.559486589;BU
2026-03-15;Burgos;Mujer;60-69;4071;15.66190898;BU
2026-03-15;Burgos;Hombre;05-12;21;0.167973124;BU
2026-03-15;Burgos;Hombre;70-79;8451;45.48928841;BU
2026-03-15;Burgos;Mujer;40-49;885;3.483154912;BU
2026-03-15;Burgos;Mujer;50-59;1700;6.056503616;BU
2026-03-15;Burgos;Mujer;80-89;7385;56.95226344;BU
2026-03-15;Castilla y León;Hombre;20-29;1190;1.788076364;Castilla y LE
2026-03-15;Castilla y León;Hombre;30-39;2225;3.205226097;Castilla y LE
2026-03-15;Castilla y León;Hombre;60-69;34256;16.73040787;Castilla y LE
2026-03-15;Castilla y León;Hombre;70-79;57312;37.78864798;Castilla y LE
2026-03-15;Castilla y León;Hombre;>89;12936;67.60729976;Castilla y LE
2026-03-15;Castilla y León;Mujer;13-19;507;0.669278695;Castilla y LE
2026-03-15;Castilla y León;Mujer;40-49;6733;3.451486783;Castilla y LE
2026-03-15;Castilla y León;Hombre;05-12;164;0.17316617;Castilla y LE
2026-03-15;Castilla y León;Mujer;0-4;33;0.101405186;Castilla y LE
2026-03-15;Castilla y León;Mujer;05-12;126;0.193849146;Castilla y LE
2026-03-15;Castilla y León;Mujer;30-39;3791;2.469482482;Castilla y LE
2026-03-15;Castilla y León;Mujer;50-59;12566;6.291667436;Castilla y LE
2026-03-15;Castilla y León;Hombre;0-4;39;0.093084707;Castilla y LE
2026-03-15;Castilla y León;Hombre;13-19;540;0.669260494;Castilla y LE
2026-03-15;Castilla y León;Hombre;40-49;5062;3.983125267;Castilla y LE
2026-03-15;Castilla y León;Hombre;50-59;11363;6.618862305;Castilla y LE
2026-03-15;Castilla y León;Hombre;80-89;41187;54.27007224;Castilla y LE
2026-03-15;Castilla y León;Mujer;20-29;1934;1.387984959;Castilla y LE
2026-03-15;Castilla y León;Mujer;60-69;30396;17.8683925;Castilla y LE
2026-03-15;Castilla y León;Mujer;70-79;51590;41.69966319;Castilla y LE
2026-03-15;Castilla y León;Mujer;80-89;52525;57.132824;Castilla y LE
2026-03-15;Castilla y León;Mujer;>89;28030;68.4784609;Castilla y LE
2026-03-15;León;Hombre;0-4;6;0.100217137;LE
2026-03-15;León;Hombre;05-12;20;0.15470297;LE
2026-03-15;León;Hombre;30-39;282;1.266163793;LE
2026-03-15;León;Hombre;40-49;705;2.223133199;LE
2026-03-15;León;Hombre;60-69;5747;16.22987857;LE
2026-03-15;León;Hombre;70-79;9646;39.9850771;LE
2026-03-15;León;Mujer;05-12;23;0.191730577;LE
2026-03-15;León;Mujer;30-39;536;2.551773387;LE
2026-03-15;León;Mujer;50-59;1826;5.083518931;LE
2026-03-15;León;Mujer;70-79;8887;32.54715254;LE
2026-03-15;León;Mujer;>89;5572;62.04208885;LE
2026-03-15;León;Hombre;13-19;48;0.359389039;LE
2026-03-15;León;Hombre;50-59;1678;4.738640535;LE
2026-03-15;León;Hombre;>89;2583;66.29876797;LE
2026-03-15;León;Mujer;40-49;959;3.026191228;LE
2026-03-15;León;Mujer;80-89;9690;48.44031194;LE
2026-03-15;León;Hombre;20-29;125;0.626597824;LE
2026-03-15;León;Hombre;80-89;7299;55.88392926;LE
2026-03-15;León;Mujer;0-4;6;0.109051254;LE
2026-03-15;León;Mujer;13-19;45;0.352692217;LE
2026-03-15;León;Mujer;20-29;212;1.154684096;LE
2026-03-15;León;Mujer;60-69;4882;13.41135102;LE
2026-03-15;Palencia;Hombre;60-69;2248;17.28964775;PA
2026-03-15;Palencia;Mujer;20-29;90;1.342682381;PA
2026-03-15;Palencia;Hombre;30-39;184;2.197014925;PA
2026-03-15;Palencia;Hombre;50-59;840;6.718924972;PA
2026-03-15;Palencia;Hombre;>89;767;72.4952741;PA
2026-03-15;Palencia;Mujer;05-12;17;0.360016942;PA
2026-03-15;Palencia;Mujer;>89;1951;67.50865052;PA
2026-03-15;Palencia;Hombre;0-4;5;0.207986689;PA
2026-03-15;Palencia;Hombre;05-12;13;0.25757876;PA
2026-03-15;Palencia;Hombre;13-19;35;0.709076175;PA
2026-03-15;Palencia;Hombre;20-29;113;1.55862069;PA
2026-03-15;Palencia;Hombre;40-49;370;3.27636589;PA
2026-03-15;Palencia;Hombre;70-79;3960;45.0563204;PA
2026-03-15;Palencia;Hombre;80-89;2472;59.65250965;PA
2026-03-15;Palencia;Mujer;0-4;4;0.182648402;PA
2026-03-15;Palencia;Mujer;13-19;27;0.5841627;PA
2026-03-15;Palencia;Mujer;30-39;232;3.016905072;PA
2026-03-15;Palencia;Mujer;40-49;421;3.876611418;PA
2026-03-15;Palencia;Mujer;50-59;814;6.788990826;PA
2026-03-15;Palencia;Mujer;60-69;1849;14.24938348;PA
2026-03-15;Palencia;Mujer;70-79;3244;35.49622497;PA
2026-03-15;Palencia;Mujer;80-89;3196;52.22222222;PA
2026-03-15;Salamanca;Hombre;05-12;32;0.324313368;SA
2026-03-15;Salamanca;Hombre;20-29;158;0.988859682;SA
2026-03-15;Salamanca;Hombre;40-49;711;3.26416307;SA
2026-03-15;Salamanca;Hombre;50-59;1480;5.915267786;SA
2026-03-15;Salamanca;Hombre;80-89;5845;57.50688705;SA
2026-03-15;Salamanca;Mujer;30-39;610;3.734541447;SA
2026-03-15;Salamanca;Hombre;0-4;9;0.190677966;SA
2026-03-15;Salamanca;Hombre;30-39;340;2.045235804;SA
2026-03-15;Salamanca;Hombre;60-69;4238;17.35533806;SA
2026-03-15;Salamanca;Mujer;05-12;16;0.17015846;SA
2026-03-15;Salamanca;Mujer;20-29;327;2.112130216;SA
2026-03-15;Salamanca;Mujer;60-69;3790;15.07857569;SA
2026-03-15;Salamanca;Hombre;13-19;68;0.627943485;SA
2026-03-15;Salamanca;Hombre;70-79;7396;44.12624545;SA
2026-03-15;Salamanca;Hombre;>89;2029;68.73306233;SA
2026-03-15;Salamanca;Mujer;0-4;8;0.181077411;SA
2026-03-15;Salamanca;Mujer;13-19;76;0.7555423;SA
2026-03-15;Salamanca;Mujer;40-49;985;4.459031236;SA
2026-03-15;Salamanca;Mujer;50-59;1726;6.546309641;SA
2026-03-15;Salamanca;Mujer;70-79;6990;36.32867315;SA
2026-03-15;Salamanca;Mujer;80-89;7512;51.73553719;SA
2026-03-15;Salamanca;Mujer;>89;4239;67.47851003;SA
2026-03-15;Segovia;Hombre;13-19;51;0.89223233;SE
2026-03-15;Segovia;Hombre;30-39;159;1.766470392;SE
2026-03-15;Segovia;Hombre;40-49;356;3.105644247;SE
2026-03-15;Segovia;Hombre;60-69;2587;21.97214201;SE
